허브 : https://arms-offering-secrets-blocking.trycloudflare.com
대상 : 513문제  564 MB
  [504/513] BOJ 9370   ✅ 26개  0.2MB
  [505/513] BOJ 9375   ✅ 26개  0.0MB
  [506/513] BOJ 9461   ✅ 14개  0.0MB
  [507/513] BOJ 9527   ✅ 14개  0.0MB
  [508/513] BOJ 9655   ✅ 14개  0.0MB
  [509/513] BOJ 9663   ✅ 13개  0.0MB
  [510/513] BOJ 9934   ✅ 26개  0.1MB
  [511/513] BOJ 9935   ✅ 24개  4.6MB
  [512/513] BOJ 9944   ✅ 14개  0.0MB
  [513/513] BOJ 9996   ✅ 26개  0.0MB

완료: 올림 506 / 이미있음 7 / 실패 0 / 3.1분
